InstructID,whichwindow,Instructions
40,open/select assess step 2 (search),You may enter one or more search criteria below.  You do not need to enter them all.  Press the Search button when you are done.  Press the Cancel button to cancel this search.
41,update op misc parms,missing insturctions 41
42,delete/select assess,"Please select the assessment you wish to delete by clicking on it.  When you have selected the assessment you wish to delete, press the Delete button.  If you have changed your mind, press the Cancel button."
43,,"Add or update the LVE Personal Protective Equipment information below, then press the ""OK"" button to return to the previous window."
44,,Text added to this box will appear on the IRER report at the end of the Releases section for this operation.
45,default model,Your default database is shown below.  You may use the Browse button to select a default database.  No changes are made until you press the OK button.
46,default CRS database,Your default CRSS database is shown below.  You may use the Browse button to select a default CRSS database.  No changes are made until you press the OK button.
47,select CRSS,"Please select the CRSS report you wish to import by clicking on it.  When you have selected the CRSS report you wish to import, press the Import button."
49,frmMDUpdOps tab3,Please select the assessment from which you wish to import an operation.
50,frmMDUpdOps tab2,"Please select the Generic Scenario you wish to add to your assessment.

Select the Generic Scenario Help button to view pertinent information about the selected Generic Scenario. 

Generic scenarios denoted as ""volatile"" are intended for chemicals that have vapor pressures that fall between the default range for vapor generation models: 0.001 to 35 torr. Chemicals with a vapor pressure less than 0.001 torr are considered non-volatile. See the User Guide for additional details. 

Note that you must adjust your mass balance parameters prior to running models."
51,frmMDUpdOps tab3,"Please select the previously saved operation you wish to add to your assessment.

Note that you must adjust your mass balance parameters prior to running models."
